,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
RPL21,295.3020685,303.8773825,344.2814203,366.2323814,548.0829933,293.4360618,442.8056618,345.3352464,352.9170222,246.3054752,266.1256299,307.1021359
PKIB,60.43391169,42.92053425,38.25349115,30.78343874,44.27411367,43.329811,29.56845625,27.9058785,36.94799149,27.56487268,41.25978757,39.39797138
SENP8,89.27736955,104.7261036,99.45907699,97.78268775,109.1585906,104.2109378,100.2442785,113.3676314,113.3921118,78.24867082,106.243953,108.0918702
ENSGALG00000027051,0,0,0,0,0,0,0,0,1.274068672,0.889189441,0,2.020408789
ETFBKMT,45.32543377,39.48689151,56.10512035,43.91166996,53.43427512,46.62068272,38.22263856,45.34705256,44.59240353,42.68109318,42.29128226,49.50001533
EMP2,21.97596789,41.20371288,33.15302566,28.97264822,30.91554489,26.87545239,21.63545579,24.41764368,42.04426618,17.78378882,15.47242034,23.23470107
ENSGALG00000027064,5.493991972,3.43364274,5.100465487,1.358092885,1.908366968,1.645435861,2.884727439,3.488234812,2.548137344,1.778378882,3.094484068,6.061226366
HDGFL2,129.1088113,202.5849217,221.8702487,154.8225889,129.7689539,111.8896385,131.9762803,179.6440928,170.7252021,142.2703106,144.4092565,153.5510679
TSC22D3,449.1338437,527.0641606,642.6586513,459.4880929,559.9148686,563.287543,410.3524782,509.2822825,447.1981039,489.0541926,487.8969881,487.9287225
TIMP2,19.2289719,29.18596329,33.15302566,28.51995059,27.86215774,17.55131585,25.96254695,27.9058785,28.02951079,21.34054659,25.78736723,37.37756259
ENSGALG00000027090,6.867489965,5.15046411,15.30139646,6.337766798,6.106774299,3.290871722,4.327091158,1.744117406,1.274068672,6.224326088,7.220462826,5.051021972
ENSGALG00000027091,108.5063415,84.12424713,91.80837876,105.9312451,99.99842915,83.36875028,104.5713697,108.1352792,98.10328776,88.91894412,94.89751142,96.97962186
ENSGALG00000027093,2.746995986,1.71682137,7.65069823,3.168883399,6.488447693,2.742393101,28.12609253,15.69705665,38.22206017,43.57028262,44.35427164,31.31633623
LGALSL,130.4823093,132.1952455,89.25814601,139.4308696,133.5856878,126.1500827,110.3408245,104.6470444,142.6956913,92.47570188,99.02349018,103.0408482
H2A-VI,0,0,0,0.452697628,0,0.54847862,0,0,0,0,0,0
APPL2,4.120493979,1.71682137,2.550232743,4.074278656,6.488447693,6.033264823,4.327091158,5.232352218,10.19254938,8.891894412,5.157473447,5.051021972
BLCAP,282.9405866,272.9745978,334.0804894,296.9696443,273.2781499,309.8904204,341.8402015,275.5705501,262.4581465,227.6324969,303.2594387,275.7857997
RPL32,2413.235974,2290.239708,2889.413698,2402.013617,2283.170241,2431.405724,2721.740338,2694.661392,2207.961009,2164.2871,2159.94988,2249.725186
